$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_arrnand,risetime,temper,alter#
2.7273341e-11, 3.6000000e-11,  25.00000000,1
7.7589375e-12, 5.0000000e-12,  25.00000000,2
1.1479876e-11, 1.0000000e-11,  25.00000000,3
1.4981569e-11, 1.5000000e-11,  25.00000000,4
1.8363134e-11, 2.0000000e-11,  25.00000000,5
2.1667684e-11, 2.5000000e-11,  25.00000000,6
2.4085553e-11, 3.0000000e-11,  25.00000000,7
2.6650888e-11, 3.5000000e-11,  25.00000000,8
2.9847909e-11, 4.0000000e-11,  25.00000000,9
3.2802665e-11, 4.5000000e-11,  25.00000000,10
3.5623042e-11, 5.0000000e-11,  25.00000000,11
3.6756026e-11, 5.5000000e-11,  25.00000000,12
4.0003403e-11, 6.0000000e-11,  25.00000000,13
4.0453961e-11, 6.5000000e-11,  25.00000000,14
4.6016893e-11, 7.0000000e-11,  25.00000000,15
4.8078269e-11, 7.5000000e-11,  25.00000000,16
5.0190622e-11, 8.0000000e-11,  25.00000000,17
5.1870177e-11, 8.5000000e-11,  25.00000000,18
5.4139159e-11, 9.0000000e-11,  25.00000000,19
5.6973903e-11, 9.5000000e-11,  25.00000000,20
6.0925296e-11, 1.0000000e-10,  25.00000000,21
6.1044006e-11, 1.0500000e-10,  25.00000000,22
6.1775132e-11, 1.1000000e-10,  25.00000000,23
6.4232814e-11, 1.1500000e-10,  25.00000000,24
6.7956393e-11, 1.2000000e-10,  25.00000000,25
7.1067024e-11, 1.2500000e-10,  25.00000000,26
7.2926486e-11, 1.3000000e-10,  25.00000000,27
7.4514279e-11, 1.3500000e-10,  25.00000000,28
7.9841607e-11, 1.4000000e-10,  25.00000000,29
7.8090714e-11, 1.4500000e-10,  25.00000000,30
8.4063949e-11, 1.5000000e-10,  25.00000000,31
8.5757778e-11, 1.5500000e-10,  25.00000000,32
8.7749910e-11, 1.6000000e-10,  25.00000000,33
9.0060365e-11, 1.6500000e-10,  25.00000000,34
9.2778618e-11, 1.7000000e-10,  25.00000000,35
9.5992874e-11, 1.7500000e-10,  25.00000000,36
9.9027564e-11, 1.8000000e-10,  25.00000000,37
1.0122451e-10, 1.8500000e-10,  25.00000000,38
1.0329426e-10, 1.9000000e-10,  25.00000000,39
1.0545861e-10, 1.9500000e-10,  25.00000000,40
1.0721806e-10, 2.0000000e-10,  25.00000000,41
1.0977467e-10, 2.0500000e-10,  25.00000000,42
1.1137008e-10, 2.1000000e-10,  25.00000000,43
1.1336117e-10, 2.1500000e-10,  25.00000000,44
1.1551381e-10, 2.2000000e-10,  25.00000000,45
1.1657425e-10, 2.2500000e-10,  25.00000000,46
1.1767223e-10, 2.3000000e-10,  25.00000000,47
1.2279689e-10, 2.3500000e-10,  25.00000000,48
1.2490054e-10, 2.4000000e-10,  25.00000000,49
1.2648600e-10, 2.4500000e-10,  25.00000000,50
1.2885870e-10, 2.5000000e-10,  25.00000000,51
1.3133990e-10, 2.5500000e-10,  25.00000000,52
1.3392793e-10, 2.6000000e-10,  25.00000000,53
1.3589609e-10, 2.6500000e-10,  25.00000000,54
1.3801280e-10, 2.7000000e-10,  25.00000000,55
1.4024235e-10, 2.7500000e-10,  25.00000000,56
1.4261047e-10, 2.8000000e-10,  25.00000000,57
1.4519006e-10, 2.8500000e-10,  25.00000000,58
1.4745668e-10, 2.9000000e-10,  25.00000000,59
1.4933220e-10, 2.9500000e-10,  25.00000000,60
1.5171067e-10, 3.0000000e-10,  25.00000000,61
1.5407531e-10, 3.0500000e-10,  25.00000000,62
1.5599906e-10, 3.1000000e-10,  25.00000000,63
1.5796347e-10, 3.1500000e-10,  25.00000000,64
1.6011529e-10, 3.2000000e-10,  25.00000000,65
1.6219117e-10, 3.2500000e-10,  25.00000000,66
1.6324192e-10, 3.3000000e-10,  25.00000000,67
1.6520607e-10, 3.3500000e-10,  25.00000000,68
1.6672100e-10, 3.4000000e-10,  25.00000000,69
1.6911384e-10, 3.4500000e-10,  25.00000000,70
1.7144339e-10, 3.5000000e-10,  25.00000000,71
1.7346929e-10, 3.5500000e-10,  25.00000000,72
1.7568464e-10, 3.6000000e-10,  25.00000000,73
1.7806233e-10, 3.6500000e-10,  25.00000000,74
1.8025409e-10, 3.7000000e-10,  25.00000000,75
1.8208098e-10, 3.7500000e-10,  25.00000000,76
1.8418987e-10, 3.8000000e-10,  25.00000000,77
1.8653687e-10, 3.8500000e-10,  25.00000000,78
1.8905107e-10, 3.9000000e-10,  25.00000000,79
1.9084939e-10, 3.9500000e-10,  25.00000000,80
1.9252050e-10, 4.0000000e-10,  25.00000000,81
