$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
7.8775266e-12, 1.8024754e-11, 6.6173216e-12,   0.,  25.00000000,1
9.3459682e-12, 1.8797411e-11, 7.3336184e-12, 5.0000000e-12,  25.00000000,2
1.0208391e-11, 1.9662796e-11, 8.1471038e-12, 1.0000000e-11,  25.00000000,3
1.1196049e-11, 2.0542099e-11, 9.1163051e-12, 1.5000000e-11,  25.00000000,4
1.2129656e-11, 2.1394133e-11, 1.0091985e-11, 2.0000000e-11,  25.00000000,5
1.3147279e-11, 2.2309561e-11, 1.0970476e-11, 2.5000000e-11,  25.00000000,6
1.4076865e-11, 2.3188961e-11, 1.1629525e-11, 3.0000000e-11,  25.00000000,7
1.4906480e-11, 2.3950087e-11, 1.2354652e-11, 3.5000000e-11,  25.00000000,8
1.5618531e-11, 2.4618538e-11, 1.2949669e-11, 4.0000000e-11,  25.00000000,9
1.6255365e-11, 2.5341609e-11, 1.3493344e-11, 4.5000000e-11,  25.00000000,10
1.6853613e-11, 2.5955350e-11, 1.3972284e-11, 5.0000000e-11,  25.00000000,11
1.7418325e-11, 2.6618651e-11, 1.4390916e-11, 5.5000000e-11,  25.00000000,12
1.7952762e-11, 2.7212251e-11, 1.4766029e-11, 6.0000000e-11,  25.00000000,13
1.8459306e-11, 2.7758814e-11, 1.5109027e-11, 6.5000000e-11,  25.00000000,14
1.8977861e-11, 2.8305866e-11, 1.5642659e-11, 7.0000000e-11,  25.00000000,15
1.9338263e-11, 2.8751632e-11, 1.5811000e-11, 7.5000000e-11,  25.00000000,16
1.9725522e-11, 2.9283683e-11, 1.6097858e-11, 8.0000000e-11,  25.00000000,17
2.0123640e-11, 2.9745526e-11, 1.6450435e-11, 8.5000000e-11,  25.00000000,18
2.0530181e-11, 3.0125825e-11, 1.6671500e-11, 9.0000000e-11,  25.00000000,19
2.0923827e-11, 3.0665011e-11, 1.7013765e-11, 9.5000000e-11,  25.00000000,20
2.1297614e-11, 3.1092975e-11, 1.7215680e-11, 1.0000000e-10,  25.00000000,21
