$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
9.5699441e-12, 1.8141778e-11, 6.5658769e-12,   0.,  25.00000000,1
1.0390696e-11, 1.8806287e-11, 7.3169721e-12, 5.0000000e-12,  25.00000000,2
1.1310605e-11, 1.9664327e-11, 8.1735800e-12, 1.0000000e-11,  25.00000000,3
1.2295286e-11, 2.0637499e-11, 9.1453775e-12, 1.5000000e-11,  25.00000000,4
1.3264855e-11, 2.1541540e-11, 1.0137629e-11, 2.0000000e-11,  25.00000000,5
1.4249241e-11, 2.2358832e-11, 1.0913793e-11, 2.5000000e-11,  25.00000000,6
1.5252221e-11, 2.3216053e-11, 1.1701799e-11, 3.0000000e-11,  25.00000000,7
1.6088950e-11, 2.3753940e-11, 1.2234920e-11, 3.5000000e-11,  25.00000000,8
1.6872115e-11, 2.4555518e-11, 1.2802059e-11, 4.0000000e-11,  25.00000000,9
1.7681993e-11, 2.5059914e-11, 1.3316564e-11, 4.5000000e-11,  25.00000000,10
1.8551382e-11, 2.5993281e-11, 1.3978267e-11, 5.0000000e-11,  25.00000000,11
1.9253325e-11, 2.6657266e-11, 1.4456012e-11, 5.5000000e-11,  25.00000000,12
1.9863259e-11, 2.7281925e-11, 1.4863080e-11, 6.0000000e-11,  25.00000000,13
2.0422307e-11, 2.7830345e-11, 1.5217509e-11, 6.5000000e-11,  25.00000000,14
2.0939763e-11, 2.8358091e-11, 1.5522410e-11, 7.0000000e-11,  25.00000000,15
2.1436161e-11, 2.8873842e-11, 1.5798676e-11, 7.5000000e-11,  25.00000000,16
2.1917287e-11, 2.9405112e-11, 1.6342912e-11, 8.0000000e-11,  25.00000000,17
2.2404212e-11, 2.9778338e-11, 1.6419683e-11, 8.5000000e-11,  25.00000000,18
2.2863909e-11, 3.0261912e-11, 1.6659915e-11, 9.0000000e-11,  25.00000000,19
2.3309409e-11, 3.0656082e-11, 1.7001352e-11, 9.5000000e-11,  25.00000000,20
2.3673535e-11, 3.1057270e-11, 1.7193820e-11, 1.0000000e-10,  25.00000000,21
2.4030650e-11, 3.1452453e-11, 1.7381306e-11, 1.0500000e-10,  25.00000000,22
2.4379656e-11, 3.1840145e-11, 1.7566529e-11, 1.1000000e-10,  25.00000000,23
2.4841767e-11, 3.2297052e-11, 1.7847859e-11, 1.1500000e-10,  25.00000000,24
2.5159358e-11, 3.2582259e-11, 1.7933628e-11, 1.2000000e-10,  25.00000000,25
2.5569812e-11, 3.2908523e-11, 1.8168388e-11, 1.2500000e-10,  25.00000000,26
2.5938332e-11, 3.3252025e-11, 1.8571798e-11, 1.3000000e-10,  25.00000000,27
2.6165881e-11, 3.3641401e-11, 1.8642561e-11, 1.3500000e-10,  25.00000000,28
2.6382996e-11, 3.4033326e-11, 1.8701263e-11, 1.4000000e-10,  25.00000000,29
2.6621137e-11, 3.4381370e-11, 1.8759179e-11, 1.4500000e-10,  25.00000000,30
2.6873889e-11, 3.4708307e-11, 1.9230900e-11, 1.5000000e-10,  25.00000000,31
2.7066126e-11, 3.4793249e-11, 1.8892952e-11, 1.5500000e-10,  25.00000000,32
2.7326336e-11, 3.5132117e-11, 1.9053947e-11, 1.6000000e-10,  25.00000000,33
2.7606440e-11, 3.5400987e-11, 1.9242884e-11, 1.6500000e-10,  25.00000000,34
2.7895269e-11, 3.5617022e-11, 1.9454134e-11, 1.7000000e-10,  25.00000000,35
2.8193108e-11, 3.5761010e-11, 1.9687639e-11, 1.7500000e-10,  25.00000000,36
2.8547528e-11, 3.5991235e-11, 1.9862414e-11, 1.8000000e-10,  25.00000000,37
2.8681528e-11, 3.6181531e-11, 1.9879295e-11, 1.8500000e-10,  25.00000000,38
2.8804543e-11, 3.6402888e-11, 1.9889239e-11, 1.9000000e-10,  25.00000000,39
2.8934759e-11, 3.6690433e-11, 1.9898494e-11, 1.9500000e-10,  25.00000000,40
2.9073939e-11, 3.6956427e-11, 1.9909790e-11, 2.0000000e-10,  25.00000000,41
2.9221989e-11, 3.7194781e-11, 1.9924250e-11, 2.0500000e-10,  25.00000000,42
2.9364428e-11, 3.7330460e-11, 1.9910441e-11, 2.1000000e-10,  25.00000000,43
2.9519197e-11, 3.7272318e-11, 1.9925541e-11, 2.1500000e-10,  25.00000000,44
2.9677494e-11, 3.7442585e-11, 1.9943244e-11, 2.2000000e-10,  25.00000000,45
2.9838692e-11, 3.7624752e-11, 1.9960563e-11, 2.2500000e-10,  25.00000000,46
3.0002178e-11, 3.7799035e-11, 1.9977372e-11, 2.3000000e-10,  25.00000000,47
3.0165194e-11, 3.7915671e-11, 2.0012079e-11, 2.3500000e-10,  25.00000000,48
3.0336583e-11, 3.8061308e-11, 2.0099850e-11, 2.4000000e-10,  25.00000000,49
3.0416706e-11, 3.8139877e-11, 2.0061036e-11, 2.4500000e-10,  25.00000000,50
3.0593160e-11, 3.8275876e-11, 2.0155657e-11, 2.5000000e-10,  25.00000000,51
3.0785109e-11, 3.8397500e-11, 2.0275359e-11, 2.5500000e-10,  25.00000000,52
3.0987518e-11, 3.8510368e-11, 2.0419528e-11, 2.6000000e-10,  25.00000000,53
3.0899961e-11, 3.8548596e-11, 2.0151747e-11, 2.6500000e-10,  25.00000000,54
3.1058095e-11, 3.8670428e-11, 2.0236692e-11, 2.7000000e-10,  25.00000000,55
3.1225670e-11, 3.8778137e-11, 2.0340503e-11, 2.7500000e-10,  25.00000000,56
3.1399995e-11, 3.8876021e-11, 2.0462570e-11, 2.8000000e-10,  25.00000000,57
3.1580304e-11, 3.9226708e-11, 2.0710483e-11, 2.8500000e-10,  25.00000000,58
3.1654995e-11, 3.9312682e-11, 2.0709250e-11, 2.9000000e-10,  25.00000000,59
3.1716253e-11, 3.9395374e-11, 2.0700321e-11, 2.9500000e-10,  25.00000000,60
3.1780875e-11, 3.9484688e-11, 2.0691257e-11, 3.0000000e-10,  25.00000000,61
3.1847214e-11, 3.9587386e-11, 2.0680979e-11, 3.0500000e-10,  25.00000000,62
3.1915213e-11, 3.9629951e-11, 2.0668316e-11, 3.1000000e-10,  25.00000000,63
