$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
1.7566292e-11, 1.0972285e-11, 6.6461927e-12,   0.,  25.00000000,1
1.8503240e-11, 1.1923220e-11, 7.5075073e-12, 5.0000000e-12,  25.00000000,2
1.9566560e-11, 1.3200740e-11, 8.6968553e-12, 1.0000000e-11,  25.00000000,3
2.0711324e-11, 1.4505900e-11, 1.0032761e-11, 1.5000000e-11,  25.00000000,4
2.1763566e-11, 1.5788047e-11, 1.1315183e-11, 2.0000000e-11,  25.00000000,5
2.2836493e-11, 1.7136176e-11, 1.2656753e-11, 2.5000000e-11,  25.00000000,6
2.3923731e-11, 1.8498942e-11, 1.3919714e-11, 3.0000000e-11,  25.00000000,7
2.5025129e-11, 1.9895812e-11, 1.5145670e-11, 3.5000000e-11,  25.00000000,8
2.6124079e-11, 2.1306713e-11, 1.6279218e-11, 4.0000000e-11,  25.00000000,9
2.7214214e-11, 2.2727479e-11, 1.7343222e-11, 4.5000000e-11,  25.00000000,10
2.8330924e-11, 2.4080202e-11, 1.8341326e-11, 5.0000000e-11,  25.00000000,11
2.9469183e-11, 2.5157671e-11, 1.9305433e-11, 5.5000000e-11,  25.00000000,12
3.0554709e-11, 2.6605177e-11, 2.0329540e-11, 6.0000000e-11,  25.00000000,13
3.1577324e-11, 2.7989692e-11, 2.1188402e-11, 6.5000000e-11,  25.00000000,14
3.2657390e-11, 2.9200629e-11, 2.2122733e-11, 7.0000000e-11,  25.00000000,15
3.3592562e-11, 3.0118708e-11, 2.2851628e-11, 7.5000000e-11,  25.00000000,16
3.4614613e-11, 3.1230195e-11, 2.3646745e-11, 8.0000000e-11,  25.00000000,17
3.5584047e-11, 3.2449191e-11, 2.4472527e-11, 8.5000000e-11,  25.00000000,18
3.6513256e-11, 3.3584279e-11, 2.5303102e-11, 9.0000000e-11,  25.00000000,19
3.7452163e-11, 3.4738575e-11, 2.6080782e-11, 9.5000000e-11,  25.00000000,20
3.8385745e-11, 3.5774196e-11, 2.6841607e-11, 1.0000000e-10,  25.00000000,21
3.9302759e-11, 3.6779018e-11, 2.7575957e-11, 1.0500000e-10,  25.00000000,22
4.0203505e-11, 3.7770628e-11, 2.8363695e-11, 1.1000000e-10,  25.00000000,23
4.1113170e-11, 3.8769760e-11, 2.9084072e-11, 1.1500000e-10,  25.00000000,24
4.1986809e-11, 3.9730807e-11, 2.9783954e-11, 1.2000000e-10,  25.00000000,25
4.2847762e-11, 4.0665981e-11, 3.0456976e-11, 1.2500000e-10,  25.00000000,26
4.3694199e-11, 4.1561709e-11, 3.1091104e-11, 1.3000000e-10,  25.00000000,27
4.4533942e-11, 4.2457473e-11, 3.1723633e-11, 1.3500000e-10,  25.00000000,28
4.5366488e-11, 4.3349392e-11, 3.2357201e-11, 1.4000000e-10,  25.00000000,29
4.6190435e-11, 4.4230423e-11, 3.2984346e-11, 1.4500000e-10,  25.00000000,30
4.7016793e-11, 4.5138349e-11, 3.3587158e-11, 1.5000000e-10,  25.00000000,31
4.7818698e-11, 4.5978306e-11, 3.4208790e-11, 1.5500000e-10,  25.00000000,32
4.8578394e-11, 4.6618014e-11, 3.5035431e-11, 1.6000000e-10,  25.00000000,33
4.9394347e-11, 4.7670563e-11, 3.5453234e-11, 1.6500000e-10,  25.00000000,34
5.0173478e-11, 4.8508028e-11, 3.6052367e-11, 1.7000000e-10,  25.00000000,35
5.0944831e-11, 4.9358148e-11, 3.6674814e-11, 1.7500000e-10,  25.00000000,36
5.1709318e-11, 5.0131177e-11, 3.7215005e-11, 1.8000000e-10,  25.00000000,37
5.2473333e-11, 5.0886594e-11, 3.7739113e-11, 1.8500000e-10,  25.00000000,38
5.3245869e-11, 5.1705292e-11, 3.8361518e-11, 1.9000000e-10,  25.00000000,39
5.3921895e-11, 5.2495243e-11, 3.8854691e-11, 1.9500000e-10,  25.00000000,40
5.4656166e-11, 5.2855270e-11, 3.9749131e-11, 2.0000000e-10,  25.00000000,41
5.5395773e-11, 5.3880854e-11, 4.0371468e-11, 2.0500000e-10,  25.00000000,42
5.6131064e-11, 5.4766984e-11, 4.0527374e-11, 2.1000000e-10,  25.00000000,43
5.6880568e-11, 5.5400576e-11, 4.1153162e-11, 2.1500000e-10,  25.00000000,44
5.7618673e-11, 5.6219712e-11, 4.1548506e-11, 2.2000000e-10,  25.00000000,45
5.8280093e-11, 5.6980250e-11, 4.2101592e-11, 2.2500000e-10,  25.00000000,46
5.8975588e-11, 5.7689327e-11, 4.2621632e-11, 2.3000000e-10,  25.00000000,47
5.9671399e-11, 5.8386877e-11, 4.3126529e-11, 2.3500000e-10,  25.00000000,48
6.0364783e-11, 5.9104367e-11, 4.3614202e-11, 2.4000000e-10,  25.00000000,49
6.1044874e-11, 5.9805475e-11, 4.4113984e-11, 2.4500000e-10,  25.00000000,50
6.1677845e-11, 6.0386177e-11, 4.4893148e-11, 2.5000000e-10,  25.00000000,51
6.2328812e-11, 6.0811214e-11, 4.5658178e-11, 2.5500000e-10,  25.00000000,52
6.3004276e-11, 6.1870182e-11, 4.5714318e-11, 2.6000000e-10,  25.00000000,53
6.3748909e-11, 6.2525551e-11, 4.6597215e-11, 2.6500000e-10,  25.00000000,54
6.4405262e-11, 6.3303126e-11, 4.6773757e-11, 2.7000000e-10,  25.00000000,55
6.5049444e-11, 6.3925624e-11, 4.7138278e-11, 2.7500000e-10,  25.00000000,56
6.5739118e-11, 6.4634885e-11, 4.7817868e-11, 2.8000000e-10,  25.00000000,57
6.6352248e-11, 6.5285703e-11, 4.8183610e-11, 2.8500000e-10,  25.00000000,58
6.7001153e-11, 6.5919979e-11, 4.8582554e-11, 2.9000000e-10,  25.00000000,59
6.7575518e-11, 6.6331427e-11, 4.9424206e-11, 2.9500000e-10,  25.00000000,60
6.8148713e-11, 6.6734227e-11, 4.9990755e-11, 3.0000000e-10,  25.00000000,61
6.8865347e-11, 6.7682524e-11, 5.0297256e-11, 3.0500000e-10,  25.00000000,62
6.9408529e-11, 6.8025357e-11, 5.0844677e-11, 3.1000000e-10,  25.00000000,63
7.0094404e-11, 6.8464362e-11, 5.1395174e-11, 3.1500000e-10,  25.00000000,64
7.0820812e-11, 6.9309545e-11, 5.1946123e-11, 3.2000000e-10,  25.00000000,65
7.1417954e-11, 7.0138087e-11, 5.2495304e-11, 3.2500000e-10,  25.00000000,66
7.2081170e-11, 7.1035346e-11, 5.2628445e-11, 3.3000000e-10,  25.00000000,67
7.2692571e-11, 7.1623134e-11, 5.3037840e-11, 3.3500000e-10,  25.00000000,68
7.3312886e-11, 7.2227785e-11, 5.3455562e-11, 3.4000000e-10,  25.00000000,69
7.3939374e-11, 7.2850113e-11, 5.3878025e-11, 3.4500000e-10,  25.00000000,70
7.4517730e-11, 7.3482488e-11, 5.4474587e-11, 3.5000000e-10,  25.00000000,71
7.5116594e-11, 7.4077403e-11, 5.4921131e-11, 3.5500000e-10,  25.00000000,72
7.5712321e-11, 7.4673141e-11, 5.5371946e-11, 3.6000000e-10,  25.00000000,73
7.6284267e-11, 7.4809023e-11, 5.5780166e-11, 3.6500000e-10,  25.00000000,74
7.6655129e-11, 7.5035589e-11, 5.6086453e-11, 3.7000000e-10,  25.00000000,75
7.7549472e-11, 7.6494558e-11, 5.6459192e-11, 3.7500000e-10,  25.00000000,76
7.8130817e-11, 7.7077288e-11, 5.6891267e-11, 3.8000000e-10,  25.00000000,77
7.8253979e-11, 7.6471447e-11, 5.7362853e-11, 3.8500000e-10,  25.00000000,78
7.9132392e-11, 7.7528243e-11, 5.7988903e-11, 3.9000000e-10,  25.00000000,79
7.9775708e-11, 7.8208679e-11, 5.8442098e-11, 3.9500000e-10,  25.00000000,80
8.0414682e-11, 7.8880693e-11, 5.8892613e-11, 4.0000000e-10,  25.00000000,81
