$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
1.6334810e-11, 3.1942501e-11, 1.4511982e-11,   0.,  25.00000000,1
1.7350768e-11, 3.2761919e-11, 1.5322414e-11, 5.0000000e-12,  25.00000000,2
1.8278438e-11, 3.3698789e-11, 1.6241762e-11, 1.0000000e-11,  25.00000000,3
1.9275259e-11, 3.4647062e-11, 1.7247791e-11, 1.5000000e-11,  25.00000000,4
2.0233796e-11, 3.5497093e-11, 1.8169853e-11, 2.0000000e-11,  25.00000000,5
2.1164795e-11, 3.6450759e-11, 1.9158179e-11, 2.5000000e-11,  25.00000000,6
2.2230854e-11, 3.7272730e-11, 2.0149984e-11, 3.0000000e-11,  25.00000000,7
2.3107518e-11, 3.7926096e-11, 2.1102200e-11, 3.5000000e-11,  25.00000000,8
2.4119789e-11, 3.8641019e-11, 2.2108969e-11, 4.0000000e-11,  25.00000000,9
2.5112725e-11, 3.9302402e-11, 2.3121266e-11, 4.5000000e-11,  25.00000000,10
2.6250855e-11, 4.0141676e-11, 2.4198570e-11, 5.0000000e-11,  25.00000000,11
2.7235195e-11, 4.0770034e-11, 2.5125037e-11, 5.5000000e-11,  25.00000000,12
2.8144235e-11, 4.1480285e-11, 2.5972946e-11, 6.0000000e-11,  25.00000000,13
2.9025103e-11, 4.1998603e-11, 2.6801681e-11, 6.5000000e-11,  25.00000000,14
2.9888415e-11, 4.2701103e-11, 2.7535141e-11, 7.0000000e-11,  25.00000000,15
3.0680040e-11, 4.3272953e-11, 2.8269579e-11, 7.5000000e-11,  25.00000000,16
3.1457256e-11, 4.3909161e-11, 2.9022343e-11, 8.0000000e-11,  25.00000000,17
3.2134317e-11, 4.4557667e-11, 2.9662960e-11, 8.5000000e-11,  25.00000000,18
3.2824331e-11, 4.5164928e-11, 3.0292372e-11, 9.0000000e-11,  25.00000000,19
3.3523010e-11, 4.5728346e-11, 3.0870990e-11, 9.5000000e-11,  25.00000000,20
3.4262853e-11, 4.6409439e-11, 3.1464514e-11, 1.0000000e-10,  25.00000000,21
3.4912010e-11, 4.6992792e-11, 3.2011837e-11, 1.0500000e-10,  25.00000000,22
