$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
1.7535752e-11, 3.1879862e-11, 1.4474194e-11,   0.,  25.00000000,1
1.8350054e-11, 3.2740875e-11, 1.5327962e-11, 5.0000000e-12,  25.00000000,2
1.9333318e-11, 3.3698543e-11, 1.6237527e-11, 1.0000000e-11,  25.00000000,3
2.0313064e-11, 3.4643743e-11, 1.7242660e-11, 1.5000000e-11,  25.00000000,4
2.1285046e-11, 3.5492547e-11, 1.8197577e-11, 2.0000000e-11,  25.00000000,5
2.2276133e-11, 3.6443962e-11, 1.9167564e-11, 2.5000000e-11,  25.00000000,6
2.3314159e-11, 3.7252160e-11, 2.0159582e-11, 3.0000000e-11,  25.00000000,7
2.4239982e-11, 3.7846874e-11, 2.1104648e-11, 3.5000000e-11,  25.00000000,8
2.5251802e-11, 3.8539357e-11, 2.2109789e-11, 4.0000000e-11,  25.00000000,9
2.6268930e-11, 3.9321071e-11, 2.3132256e-11, 4.5000000e-11,  25.00000000,10
2.7288326e-11, 3.9884510e-11, 2.4087191e-11, 5.0000000e-11,  25.00000000,11
2.8408966e-11, 4.0700676e-11, 2.5124709e-11, 5.5000000e-11,  25.00000000,12
2.9384755e-11, 4.1350701e-11, 2.5973377e-11, 6.0000000e-11,  25.00000000,13
3.0265292e-11, 4.2089612e-11, 2.6800440e-11, 6.5000000e-11,  25.00000000,14
3.1189136e-11, 4.2723409e-11, 2.7534365e-11, 7.0000000e-11,  25.00000000,15
3.2042840e-11, 4.3346287e-11, 2.8326911e-11, 7.5000000e-11,  25.00000000,16
3.2853593e-11, 4.3921804e-11, 2.9024481e-11, 8.0000000e-11,  25.00000000,17
3.3629965e-11, 4.4529617e-11, 2.9692418e-11, 8.5000000e-11,  25.00000000,18
3.4472522e-11, 4.5125533e-11, 3.0259791e-11, 9.0000000e-11,  25.00000000,19
3.5162397e-11, 4.5741518e-11, 3.0880184e-11, 9.5000000e-11,  25.00000000,20
3.5814635e-11, 4.6327437e-11, 3.1560673e-11, 1.0000000e-10,  25.00000000,21
3.6488251e-11, 4.6944367e-11, 3.2133069e-11, 1.0500000e-10,  25.00000000,22
3.7147580e-11, 4.7540831e-11, 3.2649409e-11, 1.1000000e-10,  25.00000000,23
3.7783657e-11, 4.8015822e-11, 3.3122785e-11, 1.1500000e-10,  25.00000000,24
3.8492436e-11, 4.8692919e-11, 3.3601679e-11, 1.2000000e-10,  25.00000000,25
3.9083169e-11, 4.9209137e-11, 3.4101769e-11, 1.2500000e-10,  25.00000000,26
3.9621590e-11, 4.9676494e-11, 3.4613271e-11, 1.3000000e-10,  25.00000000,27
4.0142674e-11, 5.0133120e-11, 3.5133151e-11, 1.3500000e-10,  25.00000000,28
4.0669920e-11, 5.0585535e-11, 3.5653709e-11, 1.4000000e-10,  25.00000000,29
4.1203181e-11, 5.1037876e-11, 3.6171909e-11, 1.4500000e-10,  25.00000000,30
4.1770879e-11, 5.1566931e-11, 3.6559595e-11, 1.5000000e-10,  25.00000000,31
4.2333364e-11, 5.1974782e-11, 3.6920775e-11, 1.5500000e-10,  25.00000000,32
4.2874243e-11, 5.2401772e-11, 3.7290767e-11, 1.6000000e-10,  25.00000000,33
4.3301013e-11, 5.2845453e-11, 3.7656566e-11, 1.6500000e-10,  25.00000000,34
4.3723730e-11, 5.3348957e-11, 3.8029229e-11, 1.7000000e-10,  25.00000000,35
4.4150323e-11, 5.3813472e-11, 3.8402890e-11, 1.7500000e-10,  25.00000000,36
4.4645802e-11, 5.4200938e-11, 3.8810046e-11, 1.8000000e-10,  25.00000000,37
4.5043349e-11, 5.4661676e-11, 3.9167216e-11, 1.8500000e-10,  25.00000000,38
4.5436420e-11, 5.5113179e-11, 3.9530504e-11, 1.9000000e-10,  25.00000000,39
4.5858123e-11, 5.5541233e-11, 3.9872328e-11, 1.9500000e-10,  25.00000000,40
4.6326637e-11, 5.5821696e-11, 4.0133936e-11, 2.0000000e-10,  25.00000000,41
4.6657221e-11, 5.6191584e-11, 4.0600970e-11, 2.0500000e-10,  25.00000000,42
4.7156299e-11, 5.6574468e-11, 4.0998706e-11, 2.1000000e-10,  25.00000000,43
4.7302770e-11, 5.6838134e-11, 4.1286263e-11, 2.1500000e-10,  25.00000000,44
4.7843676e-11, 5.7302672e-11, 4.1398575e-11, 2.2000000e-10,  25.00000000,45
4.8295524e-11, 5.7753208e-11, 4.1713041e-11, 2.2500000e-10,  25.00000000,46
4.8620815e-11, 5.8101507e-11, 4.2011055e-11, 2.3000000e-10,  25.00000000,47
4.8939276e-11, 5.8443130e-11, 4.2296887e-11, 2.3500000e-10,  25.00000000,48
4.9225350e-11, 5.8776042e-11, 4.2571325e-11, 2.4000000e-10,  25.00000000,49
4.9527423e-11, 5.9117759e-11, 4.2848988e-11, 2.4500000e-10,  25.00000000,50
4.9796694e-11, 5.9494984e-11, 4.3143406e-11, 2.5000000e-10,  25.00000000,51
5.0100908e-11, 5.9892705e-11, 4.3604103e-11, 2.5500000e-10,  25.00000000,52
5.0543139e-11, 6.0224169e-11, 4.3749213e-11, 2.6000000e-10,  25.00000000,53
5.0762416e-11, 6.0553406e-11, 4.3967396e-11, 2.6500000e-10,  25.00000000,54
5.0948346e-11, 6.0819821e-11, 4.3905116e-11, 2.7000000e-10,  25.00000000,55
5.1218792e-11, 6.1099366e-11, 4.4360909e-11, 2.7500000e-10,  25.00000000,56
5.1471675e-11, 6.1410673e-11, 4.4561710e-11, 2.8000000e-10,  25.00000000,57
5.1830361e-11, 6.1683790e-11, 4.4730849e-11, 2.8500000e-10,  25.00000000,58
5.2186329e-11, 6.1952690e-11, 4.4912632e-11, 2.9000000e-10,  25.00000000,59
5.2529852e-11, 6.2218991e-11, 4.5102803e-11, 2.9500000e-10,  25.00000000,60
5.2684728e-11, 6.2621731e-11, 4.5590123e-11, 3.0000000e-10,  25.00000000,61
5.2957656e-11, 6.2902412e-11, 4.5798254e-11, 3.0500000e-10,  25.00000000,62
5.3228454e-11, 6.3089441e-11, 4.5927609e-11, 3.1000000e-10,  25.00000000,63
5.3505827e-11, 6.3334459e-11, 4.6098947e-11, 3.1500000e-10,  25.00000000,64
5.3827831e-11, 6.3610336e-11, 4.6239637e-11, 3.2000000e-10,  25.00000000,65
5.4042128e-11, 6.3869694e-11, 4.6457442e-11, 3.2500000e-10,  25.00000000,66
5.4246971e-11, 6.4132111e-11, 4.6683995e-11, 3.3000000e-10,  25.00000000,67
5.4459894e-11, 6.4394119e-11, 4.6904276e-11, 3.3500000e-10,  25.00000000,68
5.4678210e-11, 6.4650047e-11, 4.7114534e-11, 3.4000000e-10,  25.00000000,69
5.4916582e-11, 6.4841574e-11, 4.7226310e-11, 3.4500000e-10,  25.00000000,70
5.5117636e-11, 6.5095154e-11, 4.7441489e-11, 3.5000000e-10,  25.00000000,71
5.5299322e-11, 6.5494810e-11, 4.7758639e-11, 3.5500000e-10,  25.00000000,72
5.5518203e-11, 6.5733868e-11, 4.7949836e-11, 3.6000000e-10,  25.00000000,73
5.5760417e-11, 6.5895829e-11, 4.8056626e-11, 3.6500000e-10,  25.00000000,74
5.5962443e-11, 6.6137664e-11, 4.8255561e-11, 3.7000000e-10,  25.00000000,75
5.6175299e-11, 6.6268268e-11, 4.8298688e-11, 3.7500000e-10,  25.00000000,76
5.6492793e-11, 6.6500616e-11, 4.8276291e-11, 3.8000000e-10,  25.00000000,77
5.6680381e-11, 6.6722963e-11, 4.8445191e-11, 3.8500000e-10,  25.00000000,78
5.6777007e-11, 6.7105401e-11, 4.8868522e-11, 3.9000000e-10,  25.00000000,79
5.6969073e-11, 6.7313821e-11, 4.9010983e-11, 3.9500000e-10,  25.00000000,80
5.7153735e-11, 6.7516519e-11, 4.9161285e-11, 4.0000000e-10,  25.00000000,81
