$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
3.0910362e-11, 1.9361618e-11, 1.4443509e-11,   0.,  25.00000000,1
3.1363750e-11, 1.9946388e-11, 1.5156012e-11, 5.0000000e-12,  25.00000000,2
3.2507148e-11, 2.1367843e-11, 1.6552027e-11, 1.0000000e-11,  25.00000000,3
3.3566933e-11, 2.2682162e-11, 1.7826519e-11, 1.5000000e-11,  25.00000000,4
3.4676690e-11, 2.4027964e-11, 1.9134894e-11, 2.0000000e-11,  25.00000000,5
3.5838097e-11, 2.5438217e-11, 2.0640823e-11, 2.5000000e-11,  25.00000000,6
3.7055343e-11, 2.6830827e-11, 2.1938870e-11, 3.0000000e-11,  25.00000000,7
3.8213427e-11, 2.8174532e-11, 2.3378950e-11, 3.5000000e-11,  25.00000000,8
3.9374196e-11, 2.9503856e-11, 2.4677060e-11, 4.0000000e-11,  25.00000000,9
4.0564454e-11, 3.0879590e-11, 2.6021046e-11, 4.5000000e-11,  25.00000000,10
4.1735978e-11, 3.2202362e-11, 2.7345034e-11, 5.0000000e-11,  25.00000000,11
4.3023410e-11, 3.3676030e-11, 2.8793064e-11, 5.5000000e-11,  25.00000000,12
4.4263980e-11, 3.5061328e-11, 3.0190834e-11, 6.0000000e-11,  25.00000000,13
4.5473666e-11, 3.6450451e-11, 3.1453608e-11, 6.5000000e-11,  25.00000000,14
4.6753287e-11, 3.7889052e-11, 3.2856752e-11, 7.0000000e-11,  25.00000000,15
4.7973487e-11, 3.9271316e-11, 3.4119645e-11, 7.5000000e-11,  25.00000000,16
4.9216906e-11, 4.0639867e-11, 3.5359634e-11, 8.0000000e-11,  25.00000000,17
5.0352690e-11, 4.1835190e-11, 3.6318925e-11, 8.5000000e-11,  25.00000000,18
5.1659072e-11, 4.2989544e-11, 3.7423771e-11, 9.0000000e-11,  25.00000000,19
5.2654308e-11, 4.3916083e-11, 3.8361725e-11, 9.5000000e-11,  25.00000000,20
5.4087742e-11, 4.5438327e-11, 3.9785142e-11, 1.0000000e-10,  25.00000000,21
5.5434285e-11, 4.6579980e-11, 4.0940016e-11, 1.0500000e-10,  25.00000000,22
5.6717589e-11, 4.8266478e-11, 4.2003518e-11, 1.1000000e-10,  25.00000000,23
5.8026049e-11, 4.9651071e-11, 4.3078557e-11, 1.1500000e-10,  25.00000000,24
5.9287130e-11, 5.0851695e-11, 4.4138617e-11, 1.2000000e-10,  25.00000000,25
6.0548688e-11, 5.2127522e-11, 4.5241889e-11, 1.2500000e-10,  25.00000000,26
6.1782490e-11, 5.3280229e-11, 4.6256747e-11, 1.3000000e-10,  25.00000000,27
6.2987101e-11, 5.4451331e-11, 4.7276201e-11, 1.3500000e-10,  25.00000000,28
6.4204502e-11, 5.5578889e-11, 4.8241522e-11, 1.4000000e-10,  25.00000000,29
6.5442445e-11, 5.6570791e-11, 4.9178739e-11, 1.4500000e-10,  25.00000000,30
6.6531052e-11, 5.7843387e-11, 5.0202050e-11, 1.5000000e-10,  25.00000000,31
6.7679697e-11, 5.8954247e-11, 5.1155787e-11, 1.5500000e-10,  25.00000000,32
6.8822104e-11, 6.0010532e-11, 5.2075319e-11, 1.6000000e-10,  25.00000000,33
6.9985956e-11, 6.0935966e-11, 5.2960936e-11, 1.6500000e-10,  25.00000000,34
7.1093910e-11, 6.1895809e-11, 5.3842650e-11, 1.7000000e-10,  25.00000000,35
7.2139484e-11, 6.2859314e-11, 5.4721860e-11, 1.7500000e-10,  25.00000000,36
7.3177801e-11, 6.3825019e-11, 5.5596757e-11, 1.8000000e-10,  25.00000000,37
7.4208179e-11, 6.4790485e-11, 5.6465790e-11, 1.8500000e-10,  25.00000000,38
7.5219029e-11, 6.5741748e-11, 5.7330209e-11, 1.9000000e-10,  25.00000000,39
7.6383158e-11, 6.6841521e-11, 5.8524905e-11, 1.9500000e-10,  25.00000000,40
7.7332597e-11, 6.7818412e-11, 5.9053966e-11, 2.0000000e-10,  25.00000000,41
7.8292001e-11, 6.8714054e-11, 5.9904611e-11, 2.0500000e-10,  25.00000000,42
7.9427923e-11, 6.9907702e-11, 6.0989950e-11, 2.1000000e-10,  25.00000000,43
8.0374986e-11, 7.0993971e-11, 6.1586658e-11, 2.1500000e-10,  25.00000000,44
8.1296740e-11, 7.1976574e-11, 6.2291790e-11, 2.2000000e-10,  25.00000000,45
8.2233063e-11, 7.2853936e-11, 6.2938993e-11, 2.2500000e-10,  25.00000000,46
8.3101124e-11, 7.3760657e-11, 6.3931897e-11, 2.3000000e-10,  25.00000000,47
8.4127030e-11, 7.4223275e-11, 6.4688390e-11, 2.3500000e-10,  25.00000000,48
8.5032944e-11, 7.5197169e-11, 6.4813052e-11, 2.4000000e-10,  25.00000000,49
8.5947211e-11, 7.6347754e-11, 6.5544854e-11, 2.4500000e-10,  25.00000000,50
8.6860306e-11, 7.7206764e-11, 6.6355310e-11, 2.5000000e-10,  25.00000000,51
8.7743386e-11, 7.8194873e-11, 6.7230714e-11, 2.5500000e-10,  25.00000000,52
8.8588522e-11, 7.8901211e-11, 6.8083135e-11, 2.6000000e-10,  25.00000000,53
8.9433141e-11, 7.9781228e-11, 6.9016144e-11, 2.6500000e-10,  25.00000000,54
9.0259524e-11, 8.0611616e-11, 6.9808618e-11, 2.7000000e-10,  25.00000000,55
9.1139198e-11, 8.1495719e-11, 7.0619166e-11, 2.7500000e-10,  25.00000000,56
9.2120994e-11, 8.2159429e-11, 7.1363362e-11, 2.8000000e-10,  25.00000000,57
9.3119206e-11, 8.2864863e-11, 7.2082308e-11, 2.8500000e-10,  25.00000000,58
9.3926221e-11, 8.3610758e-11, 7.2822966e-11, 2.9000000e-10,  25.00000000,59
9.4738806e-11, 8.4404192e-11, 7.3553928e-11, 2.9500000e-10,  25.00000000,60
9.5742527e-11, 8.5280456e-11, 7.3338085e-11, 3.0000000e-10,  25.00000000,61
9.6518865e-11, 8.6149168e-11, 7.5022997e-11, 3.0500000e-10,  25.00000000,62
9.7316462e-11, 8.6935121e-11, 7.5734655e-11, 3.1000000e-10,  25.00000000,63
9.8304469e-11, 8.8111965e-11, 7.6681965e-11, 3.1500000e-10,  25.00000000,64
9.9117703e-11, 8.9021217e-11, 7.6209447e-11, 3.2000000e-10,  25.00000000,65
9.9918081e-11, 8.9871030e-11, 7.7069946e-11, 3.2500000e-10,  25.00000000,66
1.0071187e-10, 9.0611086e-11, 7.8089517e-11, 3.3000000e-10,  25.00000000,67
1.0126849e-10, 9.1284110e-11, 7.9213799e-11, 3.3500000e-10,  25.00000000,68
1.0224927e-10, 9.1685949e-11, 7.9794377e-11, 3.4000000e-10,  25.00000000,69
1.0289015e-10, 9.1958688e-11, 7.9947115e-11, 3.4500000e-10,  25.00000000,70
1.0390446e-10, 9.3356958e-11, 8.0446493e-11, 3.5000000e-10,  25.00000000,71
1.0458160e-10, 9.4293941e-11, 8.0989201e-11, 3.5500000e-10,  25.00000000,72
1.0536511e-10, 9.5126278e-11, 8.1761383e-11, 3.6000000e-10,  25.00000000,73
1.0626721e-10, 9.5418604e-11, 8.2445796e-11, 3.6500000e-10,  25.00000000,74
1.0693772e-10, 9.6580898e-11, 8.2919276e-11, 3.7000000e-10,  25.00000000,75
1.0769492e-10, 9.7330549e-11, 8.3648583e-11, 3.7500000e-10,  25.00000000,76
1.0847299e-10, 9.8170840e-11, 8.4451521e-11, 3.8000000e-10,  25.00000000,77
1.0883813e-10, 9.8630232e-11, 8.5215697e-11, 3.8500000e-10,  25.00000000,78
1.0989304e-10, 9.8918244e-11, 8.6133288e-11, 3.9000000e-10,  25.00000000,79
1.1068529e-10, 9.9923369e-11, 8.6852750e-11, 3.9500000e-10,  25.00000000,80
1.1152354e-10, 1.0052860e-10, 8.7499183e-11, 4.0000000e-10,  25.00000000,81
