$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$standard cell gate characterization'
delay_nand,delay_nor,delay_inv,risetime,temper,alter#
3.2244004e-11, 1.9348436e-11, 1.4624328e-11,   0.,  25.00000000,1
3.3325072e-11, 2.0344158e-11, 1.5543347e-11, 5.0000000e-12,  25.00000000,2
3.4502646e-11, 2.1574867e-11, 1.6716264e-11, 1.0000000e-11,  25.00000000,3
3.5685932e-11, 2.2877962e-11, 1.8007962e-11, 1.5000000e-11,  25.00000000,4
3.6778552e-11, 2.4202043e-11, 1.9362999e-11, 2.0000000e-11,  25.00000000,5
3.7835692e-11, 2.5536536e-11, 2.0655760e-11, 2.5000000e-11,  25.00000000,6
3.8939398e-11, 2.6893856e-11, 2.1963140e-11, 3.0000000e-11,  25.00000000,7
3.9995862e-11, 2.8266725e-11, 2.3330978e-11, 3.5000000e-11,  25.00000000,8
4.1124642e-11, 2.9622785e-11, 2.4687256e-11, 4.0000000e-11,  25.00000000,9
4.2219999e-11, 3.1005162e-11, 2.6071596e-11, 4.5000000e-11,  25.00000000,10
4.3313634e-11, 3.2358340e-11, 2.7428527e-11, 5.0000000e-11,  25.00000000,11
4.4420824e-11, 3.3751136e-11, 2.8833530e-11, 5.5000000e-11,  25.00000000,12
4.5581796e-11, 3.5143542e-11, 3.0246508e-11, 6.0000000e-11,  25.00000000,13
4.6696467e-11, 3.6530458e-11, 3.1529900e-11, 6.5000000e-11,  25.00000000,14
4.7701981e-11, 3.7847251e-11, 3.2751780e-11, 7.0000000e-11,  25.00000000,15
4.8912262e-11, 3.9287995e-11, 3.4042966e-11, 7.5000000e-11,  25.00000000,16
5.0056904e-11, 4.0690135e-11, 3.5297332e-11, 8.0000000e-11,  25.00000000,17
5.1174604e-11, 4.2036873e-11, 3.6550148e-11, 8.5000000e-11,  25.00000000,18
5.2297407e-11, 4.3421440e-11, 3.7572872e-11, 9.0000000e-11,  25.00000000,19
5.3418801e-11, 4.4648803e-11, 3.8750809e-11, 9.5000000e-11,  25.00000000,20
5.4629781e-11, 4.5616278e-11, 4.0042916e-11, 1.0000000e-10,  25.00000000,21
5.5694278e-11, 4.7206222e-11, 4.0916995e-11, 1.0500000e-10,  25.00000000,22
5.6920826e-11, 4.8162657e-11, 4.2221960e-11, 1.1000000e-10,  25.00000000,23
5.7958712e-11, 4.9854300e-11, 4.2999815e-11, 1.1500000e-10,  25.00000000,24
5.9096487e-11, 5.0928329e-11, 4.4028227e-11, 1.2000000e-10,  25.00000000,25
6.0148665e-11, 5.2304956e-11, 4.5061681e-11, 1.2500000e-10,  25.00000000,26
6.1212180e-11, 5.3471495e-11, 4.6067144e-11, 1.3000000e-10,  25.00000000,27
6.2282855e-11, 5.4610595e-11, 4.7047456e-11, 1.3500000e-10,  25.00000000,28
6.3366486e-11, 5.5713953e-11, 4.7966600e-11, 1.4000000e-10,  25.00000000,29
6.4400786e-11, 5.6823982e-11, 4.8930400e-11, 1.4500000e-10,  25.00000000,30
6.5413671e-11, 5.7921105e-11, 4.9896835e-11, 1.5000000e-10,  25.00000000,31
6.6421026e-11, 5.9038646e-11, 5.0835914e-11, 1.5500000e-10,  25.00000000,32
6.7422141e-11, 6.0106361e-11, 5.1747286e-11, 1.6000000e-10,  25.00000000,33
6.8336426e-11, 6.1147328e-11, 5.2996650e-11, 1.6500000e-10,  25.00000000,34
6.9298587e-11, 6.2185160e-11, 5.3960824e-11, 1.7000000e-10,  25.00000000,35
7.0265360e-11, 6.3223868e-11, 5.4876248e-11, 1.7500000e-10,  25.00000000,36
7.1222337e-11, 6.4257740e-11, 5.5797012e-11, 1.8000000e-10,  25.00000000,37
7.2175046e-11, 6.5278592e-11, 5.6669694e-11, 1.8500000e-10,  25.00000000,38
7.3138723e-11, 6.6269965e-11, 5.7492044e-11, 1.9000000e-10,  25.00000000,39
7.4076343e-11, 6.7264166e-11, 5.8368502e-11, 1.9500000e-10,  25.00000000,40
7.5022895e-11, 6.8234139e-11, 5.9187712e-11, 2.0000000e-10,  25.00000000,41
7.6176381e-11, 6.9171304e-11, 5.9336058e-11, 2.0500000e-10,  25.00000000,42
7.7081777e-11, 7.0113033e-11, 6.0156331e-11, 2.1000000e-10,  25.00000000,43
7.7772507e-11, 7.0800477e-11, 6.1602824e-11, 2.1500000e-10,  25.00000000,44
7.8658621e-11, 7.1943999e-11, 6.2489980e-11, 2.2000000e-10,  25.00000000,45
7.9685664e-11, 7.2960555e-11, 6.2789978e-11, 2.2500000e-10,  25.00000000,46
8.0570524e-11, 7.3837773e-11, 6.3885375e-11, 2.3000000e-10,  25.00000000,47
8.1377957e-11, 7.4642146e-11, 6.4813495e-11, 2.3500000e-10,  25.00000000,48
8.2268271e-11, 7.5456500e-11, 6.5577480e-11, 2.4000000e-10,  25.00000000,49
8.3166332e-11, 7.6320316e-11, 6.6312220e-11, 2.4500000e-10,  25.00000000,50
8.4456031e-11, 7.6443851e-11, 6.6827495e-11, 2.5000000e-10,  25.00000000,51
8.5196365e-11, 7.7628691e-11, 6.7476496e-11, 2.5500000e-10,  25.00000000,52
8.5993380e-11, 7.8883242e-11, 6.8098420e-11, 2.6000000e-10,  25.00000000,53
8.6676016e-11, 7.9716470e-11, 6.9296524e-11, 2.6500000e-10,  25.00000000,54
8.7777725e-11, 8.0386190e-11, 6.9626713e-11, 2.7000000e-10,  25.00000000,55
8.8438347e-11, 8.1747379e-11, 7.0766629e-11, 2.7500000e-10,  25.00000000,56
8.9358966e-11, 8.2599980e-11, 7.1583157e-11, 2.8000000e-10,  25.00000000,57
9.0253493e-11, 8.3421650e-11, 7.2209651e-11, 2.8500000e-10,  25.00000000,58
9.1091409e-11, 8.4198551e-11, 7.2716254e-11, 2.9000000e-10,  25.00000000,59
9.1956834e-11, 8.4963303e-11, 7.3171667e-11, 2.9500000e-10,  25.00000000,60
9.2828227e-11, 8.5296819e-11, 7.3970962e-11, 3.0000000e-10,  25.00000000,61
9.3650828e-11, 8.6168226e-11, 7.4652496e-11, 3.0500000e-10,  25.00000000,62
9.4452577e-11, 8.7203607e-11, 7.5299384e-11, 3.1000000e-10,  25.00000000,63
9.5258926e-11, 8.8274096e-11, 7.5917090e-11, 3.1500000e-10,  25.00000000,64
9.6082344e-11, 8.9022155e-11, 7.6614916e-11, 3.2000000e-10,  25.00000000,65
9.6700555e-11, 8.9616552e-11, 7.7802720e-11, 3.2500000e-10,  25.00000000,66
9.7640849e-11, 9.0141047e-11, 7.8492564e-11, 3.3000000e-10,  25.00000000,67
9.8579018e-11, 9.0859254e-11, 7.8667340e-11, 3.3500000e-10,  25.00000000,68
9.9348635e-11, 9.2073706e-11, 7.9287463e-11, 3.4000000e-10,  25.00000000,69
1.0012201e-10, 9.3003435e-11, 8.0521391e-11, 3.4500000e-10,  25.00000000,70
1.0097319e-10, 9.3484027e-11, 8.0541929e-11, 3.5000000e-10,  25.00000000,71
1.0172789e-10, 9.4466499e-11, 8.1187118e-11, 3.5500000e-10,  25.00000000,72
1.0252096e-10, 9.5325718e-11, 8.1985744e-11, 3.6000000e-10,  25.00000000,73
1.0333513e-10, 9.5146088e-11, 8.2600695e-11, 3.6500000e-10,  25.00000000,74
1.0410850e-10, 9.5916053e-11, 8.3240278e-11, 3.7000000e-10,  25.00000000,75
1.0486643e-10, 9.6744341e-11, 8.3858824e-11, 3.7500000e-10,  25.00000000,76
1.0570065e-10, 9.7787080e-11, 8.4441904e-11, 3.8000000e-10,  25.00000000,77
1.0644743e-10, 9.8949366e-11, 8.5031502e-11, 3.8500000e-10,  25.00000000,78
1.0693485e-10, 9.9667484e-11, 8.6289152e-11, 3.9000000e-10,  25.00000000,79
1.0768378e-10, 1.0020434e-10, 8.7032542e-11, 3.9500000e-10,  25.00000000,80
1.0847192e-10, 1.0079172e-10, 8.7617755e-11, 4.0000000e-10,  25.00000000,81
