$DATA1 SOURCE='HSPICE' VERSION='F-2011.09 32-BIT'
$OPTION MEASFORM=3
.TITLE '$effective resistance calculation'
drain,mres,gval,temper,alter#
0.,   0.,   1.2000,  25.0000,1
5.000e-02, 3.267e+03,   1.2000,  25.0000,1
0.1000, 3.417e+03,   1.2000,  25.0000,1
0.1500, 3.587e+03,   1.2000,  25.0000,1
0.2000, 3.781e+03,   1.2000,  25.0000,1
0.2500, 4.005e+03,   1.2000,  25.0000,1
0.3000, 4.265e+03,   1.2000,  25.0000,1
0.3500, 4.570e+03,   1.2000,  25.0000,1
0.4000, 4.928e+03,   1.2000,  25.0000,1
0.4500, 5.329e+03,   1.2000,  25.0000,1
0.5000, 5.736e+03,   1.2000,  25.0000,1
0.5500, 6.136e+03,   1.2000,  25.0000,1
0.6000, 6.528e+03,   1.2000,  25.0000,1
0.6500, 6.912e+03,   1.2000,  25.0000,1
0.7000, 7.288e+03,   1.2000,  25.0000,1
0.7500, 7.655e+03,   1.2000,  25.0000,1
0.8000, 8.015e+03,   1.2000,  25.0000,1
0.8500, 8.368e+03,   1.2000,  25.0000,1
0.9000, 8.712e+03,   1.2000,  25.0000,1
0.9500, 9.049e+03,   1.2000,  25.0000,1
1.0000, 9.380e+03,   1.2000,  25.0000,1
1.0500, 9.703e+03,   1.2000,  25.0000,1
1.1000, 1.002e+04,   1.2000,  25.0000,1
1.1500, 1.033e+04,   1.2000,  25.0000,1
1.2000, 1.063e+04,   1.2000,  25.0000,1
